N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
SID_36,Crime 2,1364.557052,0,,2,0,1,11,93.13823255,2,0,1,235.7995227,4,0,0,0,0,0,,49.72800497,0,1,8,819.3715823,30,46.08344063,,1,5,10.46670837,10.01955065,433.7034747,0,,1,0,626.8312024,53.44817226,127.7615118,
SID_37,Crime 2,1480.781304,0,,4,0,2,9,47.31087818,1,0,0,281.6229117,2,0,0,0,1733.333333,0.001976285,,128.0000128,0,2,5,1110.802467,1,57.76108985,0,2,1,,0.104044331,420.3978642,1,,2,0,14.13486554,51.12168252,0,0
SID_39,Crime 2,,,,8,,3,2,26.43866695,0,,1,,9,0,,,,,,80.000008,,0,4,,,,,,,,,,0,,1,,,,,10
SID_40,Crime 2,2235.457162,0,,5,0,1,3,14.29256564,0,0,1,188.0668258,9,0,2,22.22222222,0,0.010869565,,224.0000224,0,1,5,317.1453742,0,208.4541916,0,4,3,19.05932614,4.438490581,168.2515916,1,,1,2,1542.314167,55.10933066,220.540705,
SID_41,Crime 2,113.3814245,,,8,0,6,3,109.9435957,1,0,2,78.28162291,3,0,0,0,0,,,400.00004,,2,0,,0,0,,1,2,,,0,0,,1,0,0,,0,1
SID_43,Crime 2,83.20007581,,,1,1,3,8,1.30980781,0,,5,85.91885442,9,0,0,0,0,0.036231884,,90.000009,0,0,7,,0,0,,0,,,,0,1,,3,,,,0,17
SID_45,Crime 2,684.78969,0,,2,0,3,2,13.36133328,3,0,4,127.9236277,6,0,0,11.11111111,0,0.011304348,,235.0600235,2,1,13,336.1931444,0,37.61683137,0,3,1,20.17348601,1.541395968,239.4349573,1,0,1,0,295.6078966,54.63695543,89.73725237,5
SID_46,Crime 2,1440.839582,0,2445.264876,1,0,3,7,223.7904345,2,0,1,261.575179,9,0,1,22.22222222,0,0.009057971,8.366800536,392.0000392,0,3,6,317.1453742,30,187.1057931,0,2,4,18.83856558,3.895591857,1055.831564,0,4.787552364,2,1,1173.360787,55.04608264,0,2
SID_48,Crime 2,125.4634401,,,4,0,1,12,34.77909355,1,0,0,,2,0,,0,,,,208.0000208,,2,2,,30,,,0,6,,,0,0,,2,0,,,,7
SID_49,Crime 2,714.5446146,1,2514.171264,5,0,1,3,20.73397766,0,0,1,157.5178998,3,0,0,11.11111111,0,0.005434783,,280.000028,0,2,10,317.1453742,1,42.19507193,,1,3,23.24418732,1.072761194,135.3672538,0,,1,0,239.3466798,55.6434652,118.6356896,0
SID_50,Crime 2,,,,1,0,3,1,81.30963354,0,,1,,3,0,,0,,,,34.08000341,,2,10,,0,,,,,,,0,0,,2,,,,,
SID_51,Crime 2,119.9673075,0,2435.655186,1,0,2,1,39.28895523,1,0,1,172.7923628,4,0,1,22.22222222,26.66666667,0.019021739,,230.000023,0,2,0,317.1453742,0,63.16717665,0,1,1,22.58424799,0.634971311,848.6866487,0,19.51091546,1,0,119.5342172,55.04924053,199.2471197,3
SID_52,Crime 2,,,,2,2,9,3,94.74834289,1,0,0,30.54892601,3,0,0,0,79.73333333,0.217391304,,120.000012,0,3,12,,0,5.92035492,0,0,0,,,11.7208232,0,,1,0,,,0,8
SID_53,Crime 2,47.38045319,,,2,0,2,2,106.6067876,0,0,2,105.0119332,6,0,0,0,0,0.02826087,,500.00005,0,1,4,,0,8.604583634,,0,1,,,0,1,,2,0,0,,0,34
SID_54,Crime 2,714.1181905,0,,1,0,8,4,83.28541297,3,0,0,154.653938,2,0,1,16.66666667,66.66666667,0.008152174,11.31191432,315.0000315,0,2,5,326.0343336,0,68.09662471,,3,3,17.17331365,0.312514403,591.1587024,0,16.18192699,0,0,77.35221692,54.69871474,0,14
SID_55,Crime 2,,,,1,0,0,2,239.843694,1,,2,,4,0,,0,,,,100.00001,,1,10,,0,,,,,,,0,0,,2,,,,,2
SID_57,Crime 2,,,,2,,4,4,39.38849646,3,,3,,6,0,,,,,,7.20000072,,1,4,,,,,,,,,,1,,3,,,,,
SID_58,Crime 2,,,,1,,5,2,99.30682058,1,,2,,1,1,,,,,,128.0000128,,2,9,,,,,,,,,,1,,2,,,,,
SID_60,Crime 2,377.8117338,0,,9,0,8,7,117.1722943,0,0,1,169.928401,1,0,0,5.555555556,133.3333333,0.005928854,,220.000022,0,4,6,1303.184946,0,34.89497328,0,1,0,8.584662843,0.628388293,244.156303,1,,1,0,145.6336343,53.85578368,1072.284117,2
SID_61,Crime 2,,,,3,0,1,6,93.16963499,1,0,7,92.60143198,3,0,0,0,0,,,192.0000192,,0,8,,0,0,,0,3,,,0,0,,1,0,,,0,3
SID_62,Crime 2,23.6902266,,,3,0,12,0,160.7831346,1,0,6,172.7923628,7,0,0,0,0,0,,225.0000225,0,3,1,337.7804586,0,0,,0,3,,0.131016796,2.146066219,0,,2,0,24.20734846,0,0,
SID_63,Crime 2,,,,3,0,5,5,100.1005217,6,0,6,103.1026253,4,0,0,0,0,0.028985507,,140.000014,0,3,5,,0,0.815303114,0,0,0,,,17.43266098,1,,0,0,,,0,10
SID_64,Crime 2,379.0436256,0,,8,0,4,8,101.1185515,3,0,6,293.078759,9,0,0,0,0,0.002717391,0,220.000022,0,3,4,1097.469028,30,253.2707766,,0,4,11.52907413,0.780343449,805.0389635,1,0,2,0,141.4599535,52.57085628,2276.892658,2
SID_65,Crime 2,1702.04802,0,,2,0,4,2,126.517562,3,0,0,195.7040573,1,0,0,22.22222222,453.3333333,0.01552795,31.12449799,382.5000383,0,0,3,317.1453742,0,7.601133648,0,2,4,13.93002848,3.154811016,116.2507563,0,27.23585345,1,0,987.1033264,55.27491237,0,26
SID_66,Crime 2,,,,6,0,4,0,11.14576885,0,,2,59.18854415,10,0,0,0,0,0.065217391,,180.000018,0,2,2,,0,0,,,,,,0,1,,2,,,,0,0
SID_67,Crime 2,758.0872511,0,,1,0,8,1,27.97000924,0,0,3,261.575179,0,0,0,0,0,0.002415459,,300.00003,0,0,4,634.6082112,30,43.83822129,,0,1,15.05509752,1.607564568,367.1754219,1,,2,0,381.0848788,53.34802203,1650.252861,4
SID_68,Crime 2,,,,0,0,3,6,7.284979018,1,,1,307.398568,2,1,0,0,0,0.02173913,,160.000016,0,0,0,,30,0,,,,,,105.9826548,0,,4,,,,0,
SID_69,Crime 2,27.85970648,0,,9,0,3,4,0.837851131,0,0,3,-7.637231504,3,0,0,5.555555556,0,0.152173913,39.35742972,120.000012,0,0,13,317.1453742,0,2.646599339,0,0,0,26.69642733,0.293319499,0,0,,0,0,32.72165723,55.91387081,222.0616754,15
SID_70,Crime 2,,,,2,0,2,6,52.27589556,2,,0,,5,0,,0,,0.065217391,,4.0000004,0,0,5,,0,,,,,,,9.343642155,0,,1,,,,,2
SID_72,Crime 2,,,,6,0,4,1,117.0864609,3,0,1,147.9713604,1,0,0,0,0,0.017391304,,140.000014,0,2,4,,0,0,,0,2,,,0,1,,1,0,,,0,2
SID_73,Crime 2,,,,2,2,1,1,204.3439953,2,0,2,63.00715991,5,0,0,0,0,,,128.0000128,,0,6,,0,0,,0,1,,,0,0,,2,0,,,0,11
SID_74,Crime 2,721.6043022,0,,4,0,3,7,2.012552641,1,0,4,314.0811456,3,0,0,0,0,0.011705686,0.379026145,172.0000172,0,1,1,565.7187756,30,66.7795966,0,1,0,1.146389268,0.114451454,515.8813027,1,,5,1,16.91731938,50.28242364,0,1
SID_77,Crime 2,,,,3,0,1,6,137.8080103,1,0,1,40.09546539,7,0,,0,,,,22.0000022,,1,4,,0,,,0,2,,,0,0,,2,0,,,,1
SID_79,Crime 2,478.5425773,0,,0,0,3,1,130.5029476,2,0,1,191.8854415,4,0,0,5.555555556,0,0.014492754,,260.000026,0,0,4,328.2565735,0,9.2944555,0,1,1,14.05191762,0.296645117,201.9943559,0,,4,0,62.04872077,54.44833918,57.79687441,1
SID_80,Crime 2,232.1642207,0,,2,0,1,4,302.0143607,1,0,1,168.973747,9,0,0,0,0,0.032608696,,168.0000168,0,1,1,,0,0,,1,1,,0,24.23404008,0,,2,0,0,50.02503756,0,10
SID_81,Crime 2,,0,,5,1,2,1,22.55912097,0,0,3,143.1980907,9,0,0,0,0,0.043478261,,240.000024,0,2,3,2246.049572,0,10.68674236,,0,2,0.786415803,0.063851864,0,0,,1,0,12.46539323,50.2030824,173.3906232,14
SID_82,Crime 2,,,,1,1,0,1,66.14178534,1,0,1,36.27684964,3,0,0,0,0,,,96.0000096,,4,20,,0,0,,0,1,,,0,0,,1,0,,,73.0065782,0
SID_83,Crime 2,14.21413596,0,,0,0,1,12,10.87371631,0,0,1,158.4725537,3,0,0,5.555555556,0,0.065217391,,300.00003,0,1,2,326.0343336,0,0,0,0,0,20.5773833,0.063851864,0.924459295,0,,1,0,15.13654892,54.56518111,0,3
SID_88,Crime 2,216.9077147,0,,3,0,0,5,121.9652896,1,0,1,186.1575179,10,0,0,16.66666667,0,0.005434783,,320.000032,0,0,5,317.1453742,1,25.11133591,0,0,3,15.87880357,2.153670152,5.546755767,0,,4,0,540.5751332,55.18686835,144.492186,
SID_89,Crime 2,189.5218128,0,,4,1,4,5,117.4810271,4,0,4,188.0668258,0,0,0,0,0,0,,340.000034,0,1,5,438.0987151,0,60.68363793,,0,4,10.90973307,0.525097563,76.43297381,0,,2,0,139.1226923,53.43734666,0,2
SID_90,Crime 2,248.7473793,0,,1,0,3,0,199.1444259,1,0,2,132.6968974,10,0,0,5.555555556,0,0.043478261,30.34359661,80.000008,0,1,1,326.0343336,0,29.58923148,0,0,3,14.34317138,0.180913614,64.34897018,0,,2,0,186.4800568,54.56518111,0,9
SID_91,Crime 2,,,,8,,1,8,135.360571,3,,0,,3,0,,,,,,96.0000096,,3,12,,,,,,,,,,0,,2,,,,,6
SID_92,Crime 2,29.99182687,,,4,1,1,3,21.47051936,1,0,1,131.7422434,6,0,0,0,0,0.028985507,,319.2000319,0,2,2,,0,0,,0,6,,,93.50245436,1,,0,0,0,,0,24
SID_93,Crime 2,2207.171032,0,,3,0,4,8,46.53525064,2,0,2,323.627685,0,0,0,0,895.2,0.001552795,,200.00002,0,2,3,634.6082112,30,629.8404703,,4,1,4.681090068,1.436001809,1008.287943,0,0,0,1,240.2927141,52.32070626,0,7
SID_95,Crime 2,,,,2,2,3,1,10.13485101,1,0,1,76.37231504,2,0,0,0,0,,,180.000018,,4,2,,0,0,,0,2,,,0,0,,2,0,,,0,6
SID_96,Crime 2,,,,5,0,4,6,0.814838925,0,,3,76.37231504,3,0,0,0,0,0.065217391,,84.0000084,0,4,10,,0,0,,,,,,7.362657953,1,,3,,,,0,2
SID_97,Crime 2,775.0020729,1,,2,0,2,6,16.68873558,0,0,0,99.28400955,2,0,1,22.22222222,0,0.016304348,,340.000034,0,1,5,317.1453742,0,98.57641805,1,1,2,21.46494761,0.66582371,63.16037966,0,3.9497307,1,0,402.0645808,55.10439572,838.0546789,3
SID_98,Crime 2,310.1998271,,,6,1,3,5,114.7287787,0,0,5,89.73747017,2,0,0,0,66.66666667,0.02173913,,240.000024,0,2,0,,0,41.19162195,,1,2,,,62.6321172,0,,0,0,0,,109.5098673,0
SID_99,Crime 2,,,,0,0,4,1,2.756827272,3,,5,61.09785203,4,0,0,0,0,,,140.000014,,3,1,,0,0,,,,,,0,0,,1,,,,0,7
SID_100,Crime 2,593.8666003,0,,3,0,0,2,107.9877576,0,0,1,341.7661098,13,0,0,0,0,0,,348.0000348,0,0,14,1313.978682,30,68.09662471,,0,3,0.404606641,0.058009747,838.8147441,0,,1,0,15.69303969,50.53034097,0,0
SID_101,Crime 2,868.7206093,0,,0,0,4,0,77.88184739,1,0,3,188.0668258,8,0,0,16.66666667,0,0.010869565,25.95567455,600.00006,0,1,8,326.0343336,0,46.422105,0,1,4,18.04797649,0.102387461,1019.414471,0,37.13012833,3,0,484.1469692,54.75212819,252.4810829,45
SID_102,Crime 2,,,,4,2,1,4,2.27658426,2,0,2,52.50596659,6,0,,0,,,,320.000032,,0,3,,0,,,0,1,,,0,0,,1,0,,,,5
SID_104,Crime 2,411.2623337,0,,0,0,2,8,81.06204075,2,0,2,211.9331742,2,0,0,0,0,0.010869565,,4.80000048,0,3,9,887.9435551,0,39.58610197,0,1,1,6.333429682,2.893287573,138.0745989,0,,2,0,90.37410092,52.3091655,375.6796836,1
SID_105,Crime 2,280.4922829,0,,6,0,3,7,167.6287334,1,0,2,204.2959427,8,0,0,0,0,0.016304348,,240.000024,0,4,14,1033.658997,0,20.21951723,0,0,1,12.23309185,0.753394981,144.2156499,1,,2,0,147.0805103,52.72602782,695.0834633,1
SID_107,Crime 2,71.07067979,,,4,0,2,5,123.395655,0,0,2,134.6062053,8,0,0,0,0,0.043478261,,100.00001,0,1,5,,0,0,,0,1,,,454.107612,0,,2,0,,,0,3
SID_108,Crime 2,653.8502541,0,2421.38814,0,0,1,1,103.5627141,4,0,3,182.3389022,8,0,1,11.11111111,0,0.014492754,,260.000026,0,3,2,335.8756816,0,72.11042465,,2,2,11.29638146,1.969031846,246.7976152,0,36.8808929,1,1,411.8588183,54.79619429,103.4259858,2
SID_109,Crime 2,4808.547434,0,,1,0,3,0,181.4072207,1,0,3,207.1599045,7,0,1,27.77777778,0,0.013586957,,480.000048,0,0,1,335.5582187,0,51.05051806,0,6,6,20.3541769,1.155319658,184.2315308,1,41.57191303,1,1,418.870602,54.8422634,196.2051789,13
SID_110,Crime 2,,,,2,,1,6,37.16751098,1,,3,,4,0,,0,,,,144.0000144,,1,9,,30,,,,,,,0,0,,4,,,,,
SID_111,Crime 2,14.21413596,,,5,0,2,0,133.8044041,1,0,2,51.55131265,9,0,0,0,0,0.108695652,,8.0000008,1,3,2,,0,0,,0,0,,,36.61519134,0,,0,0,,,0,0
SID_112,Crime 2,837.2126079,0,,4,0,1,10,123.5762898,4,0,2,123.150358,13,0,1,16.66666667,186.6666667,0.017391304,,128.0000128,1,1,7,375.2410733,0,114.1800653,0,1,5,22.73793685,1.13783641,2283.876687,1,53.57834337,2,1,658.32858,55.62903178,267.6907867,0
SID_113,Crime 2,,,,1,1,6,10,21.49553644,2,0,2,,11,0,,0,,,,80.000008,,2,3,,0,,,0,2,,,0,0,,3,0,,,,20
SID_115,Crime 2,1014.036459,4,,1,0,5,4,35.89733886,1,0,2,135.5608592,4,0,2,44.44444444,1333.333333,0.013975155,1.224409835,25.24800253,3,0,6,317.1453742,0,102.1386655,2,4,1,24.36292399,16.66682585,481.775358,1,43.6909149,2,0,1065.958068,56.22183275,821.3240047,7
SID_116,Crime 2,23.6902266,0,2428.990445,4,0,2,10,139.8401937,1,0,2,166.1097852,5,0,0,5.555555556,0,0.057971015,,101.9200102,0,2,5,320.0025397,0,13.37097107,0,0,1,22.28889809,0.276135015,30.3090583,0,,2,0,27.32369677,54.94241362,92.77919313,2
SID_117,Crime 2,,,,1,,1,1,86.23506179,1,,2,,6,1,,,,,,160.000016,,1,3,,,,,,,,,,0,,1,,,,,1
SID_119,Crime 2,80.54677043,0,2731.703769,3,0,1,4,70.80308217,3,0,3,320.7637232,11,0,0,0,453.3333333,0.01242236,,204.3440204,0,1,0,532.0677148,30,827.858782,0,0,2,5.271264148,2.031759487,671.091415,1,,3,0,346.1372585,53.0383811,3145.366744,
SID_121,Crime 2,26.05924926,,,3,0,2,1,74.71118655,0,0,2,101.1933174,3,0,0,0,0,0.02173913,,120.000012,0,1,10,,0,2.094701847,,0,2,,,0,1,,6,0,,,0,1
SID_122,Crime 2,,,,1,,3,2,136.5575664,1,,1,,3,0,,,,,,180.000018,,1,7,,,,,,,,,,0,,0,,,,,24
SID_123,Crime 2,,,,3,0,3,3,11.9125921,4,,2,67.78042959,7,0,0,0,0,0.086956522,,140.000014,0,1,7,,0,0,,,,,,33.44561662,0,,1,,,,0,2
SID_124,Crime 2,1086.670694,0,,1,0,12,8,5.33024174,2,0,2,133.6515513,4,0,1,22.22222222,0,0.017391304,,400.00004,0,4,12,317.1453742,0,56.39388924,,3,2,14.43002256,0.234728158,722.2998566,0,,2,0,346.3598548,55.98397596,0,8
SID_125,Crime 2,,,,4,,3,3,114.8802525,3,,4,,3,0,,,,,,60.000006,,1,0,,,,,,,,,,1,,0,,,,,
SID_126,Crime 2,,,,5,0,2,12,21.08073989,3,,0,,2,0,,0,,,,105.0000105,,0,3,,1,,,,,,,0,0,,3,,,,,4
SID_127,Crime 2,,,,1,0,0,9,176.7384902,1,0,2,244.3914081,11,0,0,0,0,0.02173913,,600.00006,0,3,12,,30,0,,,7,,,79.33841731,0,,1,,,,0,5
SID_128,Crime 2,1868.542933,0,,0,0,10,0,125.3232977,1,1,0,191.8854415,3,0,0,33.33333333,0,0.014066496,23.80375775,140.000014,0,2,2,317.1453742,0,322.1325319,0,2,1,18.33118089,19.94439567,476.8889303,0,27.43635778,0,1,2503.039831,55.03254882,147.5341268,16
SID_129,Crime 2,879.6181136,,,7,1,8,6,78.79345416,1,0,1,114.5584726,1,0,0,0,0,0.054347826,,320.000032,0,1,17,,0,0,,2,2,,,25.19151578,0,,3,0,0,,0,1
SID_130,Crime 2,,,,2,,4,10,115.1654169,2,,3,,2,0,,,,,,32.0000032,,1,4,,,,,,,,,,1,,1,,,,,
SID_132,Crime 2,94.76090639,0,,0,0,6,5,110.3484217,2,0,1,328.4009547,4,0,0,0,0,0,,240.000024,0,0,1,952.0710482,30,0,,0,9,,0,89.14428911,0,,0,0,0,50.02503756,0,3
SID_133,Crime 2,,,,3,2,2,7,130.9610725,3,,2,,5,0,,0,,,,200.00002,,1,2,,0,,,,,,,0,0,,3,,,,,0
SID_134,Crime 2,,,,4,2,5,2,47.2517327,1,0,0,114.5584726,6,0,0,0,0,0.008152174,,720.000072,0,0,7,,0,0,,0,0,,,0,1,,1,0,,,0,6
SID_135,Crime 2,253.4854246,0,2536.757113,1,0,7,1,76.14093008,1,0,2,204.2959427,1,0,0,5.555555556,0,0.018115942,8.813029897,504.0000504,0,2,1,387.3046612,0,0,0,0,2,5.961349907,0.215235947,714.144805,0,,3,0,81.63719584,54.9896273,0,11
SID_136,Crime 2,,0,,2,0,2,0,52.41389237,2,,2,106.9212411,10,0,,0,,0.043478261,23.56091031,80.000008,0,4,22,,0,,,,,,0.11706175,14.6262667,0,33.70436864,1,,9.794237538,53.55032549,,6
SID_137,Crime 2,,,,1,0,4,5,109.576135,3,,4,117.4224344,1,0,0,0,0,0.043478261,,80.000008,0,2,13,,0,0,,,,,,9.211576542,0,,1,,,,0,0
SID_140,Crime 2,75.80872511,0,,3,0,6,1,10.15039313,3,0,3,310.2625298,2,0,0,0,186.6666667,0.007246377,0,180.000018,0,1,3,495.5594886,30,25.24931029,,0,2,4.457553725,0.050065666,48.26998173,1,0,3,0,7.679572615,51.01223264,0,0
SID_141,Crime 2,170.5696315,0,,3,0,1,8,119.635583,0,0,4,232.9355609,5,0,0,5.555555556,80,0.016304348,0,120.000012,0,2,1,355.2409146,30,18.77705787,0,0,0,19.50338367,1.414717855,48.33601454,0,0,1,0,157.8207822,54.4583542,354.3860983,12
SID_144,Crime 2,369.6622958,0,,1,1,0,7,2.440337992,2,0,7,99.28400955,0,0,0,11.11111111,0,0.065217391,33.3556448,160.000016,0,2,9,317.1453742,0,4.314834942,0,5,1,22.72624313,0.319658393,0.033016403,0,,4,0,44.57491061,55.05257887,0,20
SID_146,Crime 2,1084.964998,4,2461.786324,9,0,5,9,42.52763585,1,0,0,207.1599045,4,0,3,72.22222222,200,0.013768116,13.90748178,550.000055,0,1,17,317.1453742,30,96.03016371,0,5,2,20.21938343,1.730764288,637.0515031,1,31.7195359,1,1,712.9203244,55.21138851,79.09045971,15
SID_147,Crime 2,,,,1,0,3,4,53.75496765,1,,3,253.9379475,1,0,0,0,0,0,,216.0000216,0,3,11,,30,0,,,,,,33.70974785,1,,3,,,,0,
SID_149,Crime 2,1996.612298,0,,5,0,10,4,148.1460217,4,0,3,194.7494033,1,0,0,0,290.6666667,0.00310559,,180.000018,0,0,3,475.5593298,0,40.38886196,,2,2,5.550240159,0.185025287,353.7377458,0,,1,0,143.3520222,50.03505258,0,
SID_151,Crime 2,,,,3,0,3,5,2.650646704,1,,3,,5,0,,0,,0.043478261,,60.000006,0,1,5,,0,,,,,,,0,0,,1,,,,,1
SID_152,Crime 2,165.8315862,0,,0,0,1,3,19.26192117,2,0,4,245.3460621,0,0,0,0,0,0.011857708,14.68732071,380.000038,0,1,6,940.6423861,30,0,0,0,0,9.949114458,0.291894234,88.51697745,1,,1,0,85.47698215,52.22261964,0,8
SID_154,Crime 2,,,,0,0,3,1,96.80549598,2,,2,75.4176611,7,0,0,0,0,,,138.0000138,,1,9,,0,0,,0,,,,0,0,,1,,,,0,0
SID_156,Crime 2,312.7109911,0,,5,0,6,0,57.94100885,1,0,2,348.4486874,8,0,0,0,0,0,,225.0000225,0,2,2,634.6082112,30,34.92005953,,1,5,6.38828197,0.679781398,193.410091,0,,1,0,125.5999666,51.54231347,135.3663637,
SID_157,Crime 2,1459.697002,0,,2,0,3,8,9.732019764,1,0,2,251.0739857,3,0,0,0,0,0.007246377,,320.000032,0,2,10,793.3396297,1,0,0,0,9,2.842886444,0.847145733,874.5054762,0,,2,0,212.6351229,50.69689028,0,
